A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,Active_Fire_Area,Area,Burned,Burning,Depth,Extinguished_Fire_Area,Fire_Duration_h,HDWI,LC_Type4,MC_1h,Power,Spreading,VPD_air,Wind_Dir,Wind_Speed_10m,Wind_Speed_2m,distance,distance_1,elv,focal_pre_Power,focal_ΣMW,froude,hnd,hour,hours_elapsed_max,hours_elapsed_min,pre_Power,pre_Power_1,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,slope,specific_humidity_2m_above_ground,temperature_2m_above_ground,upa,upg,ΣMW,ΣMW_1
0.1476970396001538,0.0629911572472126,-0.0888273740868896,0.0629911572472126,-0.0088581314878892,0.0177777777777777,0.0797231833910034,0.3368550557477893,-0.0517339484813533,0.0517339484813533,-0.0297731641676278,-0.0177777777777777,0.0797231833910034,0.0049826989619377,-0.0888273740868896,-0.059115724721261,-0.0797231833910034,0.0842137639369473,0.0384467512495194,-0.0888273740868896,0.0669896193771626,0.0177777777777777,-0.1929104190695886,0.2599000384467512,-0.1929104190695886,0.1085121107266436,-0.0138408304498269,0.2288965782391388,0.0325413302575932,0.0049826989619377,-0.16,-0.186082276047674,0.1034063821607074,-0.2214532871972318,-0.1929104190695886,0.1137408688965782,-0.17279507881584,0.0935640138408304,-0.0448442906574394,0.0797231833910034,-0.1085121107266436,0.0553633217993079,-0.0325413302575932,0.1301653210303729,0.2069357939254133,-0.1190926566705113,-0.2288965782391388,-0.0482276047673971,-0.0120569011918492,-0.0030142252979623,0.0088581314878892,-0.0415840061514801,-0.2441522491349481,0.2441522491349481,-0.1417301038062283,-0.059115724721261,-0.0325413302575932,-0.0842137639369473,-0.0120569011918492,-0.0842137639369473,0.059115724721261,0.0325413302575932,0.0061514801999231,-0.2599000384467512,0,0.0,0,0,0.0,0,25.0,0.2120358493730779,4,8.288485381017656,0.0,0,1.5123401979767408,342.37203074657083,1.7649018686566047,1.4020380444608067,1,0.0,565.8777465820312,0.0,1571.0133056640625,0.0,7.498045921325684,4,63.0,38.0,0.0,0.0,18.07119021419524,42.96762008939092,0.239711611616878,0.0074129254237486,22.04882020345103,0.1156966462731361,15,0.0,0.0
0.1417301038062283,0.0669896193771626,-0.075355632449058,0.035432525951557,-0.035432525951557,0.0030142252979623,0.0888273740868896,0.4035986159169549,-0.0797231833910034,0.0797231833910034,-0.0482276047673971,-0.0061514801999231,0.0797231833910034,0.0482276047673971,-0.0629911572472126,-0.0482276047673971,-0.1085121107266436,0.1245674740484429,0.0448442906574394,-0.0935640138408304,0.0030142252979623,-0.0415840061514801,-0.16,0.2214532871972318,-0.1663360246059207,0.0629911572472126,0.0271280276816609,0.1929104190695886,-0.0061514801999231,-0.0199307958477508,-0.186082276047674,-0.1929104190695886,0.1301653210303729,-0.2288965782391388,-0.1417301038062283,0.1301653210303729,-0.0935640138408304,0.0842137639369473,-0.035432525951557,0.075355632449058,-0.0984236831987697,0.0415840061514801,-0.0384467512495194,0.1358861976163014,0.2288965782391388,-0.0669896193771626,-0.2214532871972318,-0.0448442906574394,0.0246059207996924,0.059115724721261,-0.0049826989619377,-0.0177777777777777,-0.2599000384467512,0.2599000384467512,-0.1663360246059207,-0.0297731641676278,-0.0448442906574394,-0.0935640138408304,0.059115724721261,-0.1085121107266436,0.0297731641676278,0.0415840061514801,0.0039369473279507,-0.2141330257593233,0,0.0,0,0,0.0,0,0.0,0.1297736102099063,4,7.033930368938332,0.0,0,1.7226731455419118,270.61494235130584,0.9482967615810812,0.7533269474000108,17,0.0,325.30157470703125,0.0,0.0,0.0,3.36250114440918,11,185.0,185.0,0.0,0.0,18.88854821363553,35.37438078089237,0.296619818597774,0.0060801205263342,22.134641544409725,0.6969388127326965,86,0.0,0.0
0.1929104190695886,-0.0199307958477508,-0.1417301038062283,-0.059115724721261,0.0177777777777777,-0.1034063821607074,0.0061514801999231,0.3368550557477893,-0.1793771626297577,0.1417301038062283,-0.0517339484813533,0.0842137639369473,0.1085121107266436,0.01039600153787,-0.059115724721261,0.01039600153787,-0.0517339484813533,0.01039600153787,0.075355632449058,-0.0384467512495194,-0.0271280276816609,-0.0711111111111111,0.0049826989619377,0.1929104190695886,-0.1537870049980776,0.1137408688965782,0.0088581314878892,0.3100961168781238,0.0022145328719723,0.0222068435217224,-0.0797231833910034,-0.2288965782391388,0.1929104190695886,-0.2214532871972318,-0.0984236831987697,-0.0039369473279507,-0.0935640138408304,0.059115724721261,0.00024605920799692423,0.0711111111111111,-0.0669896193771626,0.0888273740868896,0.0199307958477508,0.1537870049980776,0.1998615916955017,-0.1358861976163014,-0.2364628988850442,-0.0415840061514801,0.0482276047673971,-0.059115724721261,-0.0448442906574394,-0.0711111111111111,-0.2519646289888504,0.1998615916955017,-0.1929104190695886,-0.0325413302575932,-0.0415840061514801,-0.1190926566705113,0.059115724721261,-0.0629911572472126,0.0629911572472126,-0.0797231833910034,-0.0711111111111111,-0.1793771626297577,0,0.0,0,0,0.0,0,,3.186048576141236,4,3.533493910265311,0.0,0,5.909772872930702,341.8945945319996,6.786445524347244,5.3911523245414505,113,0.0,258.13671875,0.0,0.0,0.0,3.321487665176392,18,,,0.0,0.0,28.155083337163184,17.00820693068046,0.2612693100506963,0.0079330324392173,39.34277203366955,0.1330849081277847,17,0.0,0.0
0.1793771626297577,-0.0157477893118031,-0.1137408688965782,0.0088581314878892,0.0177777777777777,-0.0888273740868896,0.0246059207996924,0.3647212610534409,-0.1929104190695886,0.186082276047674,-0.0553633217993079,0.0517339484813533,0.0888273740868896,0.0629911572472126,-0.0984236831987697,-0.0049826989619377,-0.0711111111111111,0.0297731641676278,0.0517339484813533,0.0061514801999231,-0.0553633217993079,-0.0797231833910034,-0.0415840061514801,0.1663360246059207,-0.1245674740484429,0.1417301038062283,-0.0074432910419069,0.2761399461745483,-0.0030142252979623,0.0415840061514801,-0.1190926566705113,-0.186082276047674,0.1417301038062283,-0.2679584775086506,-0.1358861976163014,-0.0088581314878892,-0.075355632449058,0.0888273740868896,0.0482276047673971,0.075355632449058,-0.1034063821607074,0.0415840061514801,0.0271280276816609,0.1245674740484429,0.2364628988850442,-0.1137408688965782,-0.2288965782391388,-0.0222068435217224,0.059115724721261,-0.0246059207996924,-0.0629911572472126,-0.0517339484813533,-0.2519646289888504,0.2214532871972318,-0.1537870049980776,-0.0517339484813533,-0.0935640138408304,-0.1245674740484429,0.0629911572472126,-0.0629911572472126,0.035432525951557,-0.0842137639369473,-0.0088581314878892,-0.17279507881584,0,0.0,0,0,0.0,0,,0.3240163112110303,4,7.54184758287491,0.0,0,1.800326481299712,0.3832509817145251,2.265564173353661,1.7997641793121484,3140,0.0,159.6671905517578,0.0,0.0,0.0,0.8324241638183594,5,,,0.0,0.0,19.636897092308903,38.72151724582927,0.0754824587054768,0.0072043733418474,23.742102662862152,483.2798767089844,59648,0.0,0.0
0.1929104190695886,-0.01039600153787,-0.1085121107266436,-0.035432525951557,0.0517339484813533,-0.0711111111111111,0.0271280276816609,0.3368550557477893,-0.186082276047674,0.1793771626297577,-0.0553633217993079,0.0935640138408304,0.1417301038062283,0.01039600153787,-0.0553633217993079,0.0297731641676278,-0.0629911572472126,0.0629911572472126,0.0517339484813533,-0.0325413302575932,-0.0415840061514801,-0.0482276047673971,-0.0415840061514801,0.1793771626297577,-0.1537870049980776,0.1358861976163014,0.0049826989619377,0.3278123798539023,0.01039600153787,-0.0120569011918492,-0.1085121107266436,-0.1793771626297577,0.186082276047674,-0.2141330257593233,-0.1245674740484429,0.0074432910419069,-0.0629911572472126,0.0797231833910034,0.0030142252979623,0.1034063821607074,-0.0482276047673971,0.0553633217993079,0.0049826989619377,0.1358861976163014,0.2141330257593233,-0.1137408688965782,-0.2519646289888504,-0.0325413302575932,0.0246059207996924,-0.0553633217993079,-0.0711111111111111,-0.059115724721261,-0.2519646289888504,0.2214532871972318,-0.17279507881584,-0.0384467512495194,-0.0271280276816609,-0.1085121107266436,0.0297731641676278,-0.0888273740868896,0.0120569011918492,-0.059115724721261,-0.0448442906574394,-0.1793771626297577,0,0.0,0,0,0.0,0,,0.4720904281972479,4,6.343894493933288,0.0,0,2.5018294478862075,354.950036531101,2.375353549258659,1.8869808595310784,34,0.0,220.43243408203125,0.0,0.0,0.0,3.691016435623169,1,,,0.0,0.0,28.162203522844067,32.09188457871116,0.2152679206178216,0.0076097693561094,27.560444337245677,0.5429889559745789,68,0.0,0.0
0.0669896193771626,0.0935640138408304,-0.0517339484813533,0.035432525951557,-0.0246059207996924,0.0157477893118031,0.1034063821607074,0.4035986159169549,-0.0482276047673971,0.035432525951557,-0.0888273740868896,-0.0415840061514801,0.0888273740868896,0.0246059207996924,-0.0842137639369473,-0.1085121107266436,-0.0842137639369473,0.0984236831987697,0.0935640138408304,-0.1085121107266436,0.1137408688965782,0.035432525951557,-0.1929104190695886,0.2519646289888504,-0.1537870049980776,0.0711111111111111,0.0246059207996924,0.2214532871972318,-0.0222068435217224,-0.0325413302575932,-0.1998615916955017,-0.1537870049980776,0.1190926566705113,-0.17279507881584,-0.16,0.1358861976163014,-0.0984236831987697,0.0669896193771626,-0.075355632449058,0.075355632449058,-0.1034063821607074,-0.0022145328719723,-0.0384467512495194,0.1417301038062283,0.1793771626297577,-0.0935640138408304,-0.1537870049980776,-0.0448442906574394,-0.0074432910419069,0.0177777777777777,0.0448442906574394,-0.0120569011918492,-0.2141330257593233,0.3014225297962323,-0.1301653210303729,-0.075355632449058,-0.0199307958477508,-0.0711111111111111,0.0199307958477508,-0.1537870049980776,-0.0177777777777777,0.0297731641676278,0.059115724721261,-0.2599000384467512,0,0.0,0,0,0.0,0,,0.3160716882027992,4,6.406686530230533,0.0,0,1.936347003072956,24.038090983265988,2.054769794648313,1.63230912486862,65,0.0,408.7593994140625,0.0,0.0,0.0,15.46250057220459,4,,,0.0,0.0,20.50991470787932,31.74138511237325,0.1104451869330322,0.0058272587768162,23.16077201532391,0.5677116513252258,70,0.0,0.0
0.1929104190695886,0.0271280276816609,-0.1137408688965782,-0.0061514801999231,0.0157477893118031,-0.035432525951557,0.0384467512495194,0.3647212610534409,-0.1301653210303729,0.1137408688965782,-0.0629911572472126,0.0448442906574394,0.1245674740484429,-0.0246059207996924,-0.0553633217993079,0.0088581314878892,-0.0384467512495194,0.1085121107266436,0.0669896193771626,-0.0553633217993079,-0.0415840061514801,-0.0157477893118031,-0.1034063821607074,0.2141330257593233,-0.1793771626297577,0.1034063821607074,0.0199307958477508,0.3100961168781238,-0.0088581314878892,-0.0061514801999231,-0.1537870049980776,-0.17279507881584,0.1793771626297577,-0.1929104190695886,-0.1245674740484429,0.0517339484813533,-0.0842137639369473,0.0711111111111111,-0.0271280276816609,0.0935640138408304,-0.0384467512495194,0.0711111111111111,-0.0049826989619377,0.16,0.1998615916955017,-0.0984236831987697,-0.2441522491349481,-0.059115724721261,0.0177777777777777,-0.035432525951557,-0.0669896193771626,-0.059115724721261,-0.2761399461745483,0.2364628988850442,-0.1537870049980776,-0.0325413302575932,-0.0138408304498269,-0.1137408688965782,0.0157477893118031,-0.0984236831987697,-0.0005536332179930795,-0.0415840061514801,-0.0246059207996924,-0.2069357939254133,0,0.0,0,0,0.0,0,,2.7952256250049485,4,3.338547030560884,0.0,0,5.910547645532568,343.07867448309764,5.953192294465903,4.729215958723713,1,0.0,225.8433532714844,1020.485107421875,4008.1513671875,0.0,3.945706844329834,18,,,0.0,0.0,26.0521627736134,15.780955878796505,0.1341472672143704,0.0072393424954852,39.07135740685951,2.140613555908203,265,0.0,0.0
0.1998615916955017,-0.0177777777777777,-0.17279507881584,-0.0271280276816609,0.0482276047673971,-0.0669896193771626,0.0384467512495194,0.3460207612456747,-0.17279507881584,0.1476970396001538,-0.0415840061514801,0.0797231833910034,0.1245674740484429,0.0199307958477508,-0.0553633217993079,0.0157477893118031,-0.0711111111111111,0.0448442906574394,0.0517339484813533,-0.035432525951557,-0.0138408304498269,-0.0415840061514801,-0.0415840061514801,0.1793771626297577,-0.16,0.0984236831987697,0.0325413302575932,0.3188927335640138,0.0120569011918492,0.0049826989619377,-0.1034063821607074,-0.1929104190695886,0.1793771626297577,-0.2214532871972318,-0.1358861976163014,0.0030142252979623,-0.1085121107266436,0.0797231833910034,0.0138408304498269,0.0935640138408304,-0.059115724721261,0.0711111111111111,0.0120569011918492,0.1417301038062283,0.2214532871972318,-0.1137408688965782,-0.2214532871972318,-0.0415840061514801,0.0325413302575932,-0.0448442906574394,-0.0553633217993079,-0.0669896193771626,-0.2679584775086506,0.2069357939254133,-0.1663360246059207,-0.0271280276816609,-0.0482276047673971,-0.1137408688965782,0.0482276047673971,-0.0711111111111111,0.0415840061514801,-0.0711111111111111,-0.0325413302575932,-0.1998615916955017,0,0.0,0,0,0.0,0,,0.3183390278002104,4,8.18704036632745,0.0,0,1.6046469471681633,355.22965864376914,2.4973025229392123,1.9838571242229104,1625,0.0,227.30821228027344,0.0,0.0,0.0,2.4535162448883057,11,,,0.0,0.0,17.225767639649938,42.49187265319334,0.0796626709930908,0.00755597336574,22.88755768079843,1.6406065225601196,203,0.0,0.0
0.0935640138408304,0.0711111111111111,0.01039600153787,0.1190926566705113,-0.0517339484813533,0.0984236831987697,0.0669896193771626,0.3839138792772011,-0.1663360246059207,0.1137408688965782,-0.0482276047673971,0.0005536332179930795,0.0517339484813533,0.0797231833910034,-0.1476970396001538,-0.075355632449058,-0.0246059207996924,0.1245674740484429,0.059115724721261,-0.1190926566705113,0.0325413302575932,-0.0022145328719723,-0.1793771626297577,0.2364628988850442,-0.1358861976163014,0.1358861976163014,-0.0088581314878892,0.2069357939254133,-0.0482276047673971,-0.0553633217993079,-0.1537870049980776,-0.1358861976163014,0.1417301038062283,-0.1998615916955017,-0.2069357939254133,0.2141330257593233,-0.075355632449058,0.0482276047673971,-0.0325413302575932,0.1085121107266436,-0.0157477893118031,0.0246059207996924,-0.0553633217993079,0.1245674740484429,0.2141330257593233,-0.1358861976163014,-0.1663360246059207,-0.0448442906574394,-0.0669896193771626,0.0005536332179930795,0.0271280276816609,-0.0022145328719723,-0.2679584775086506,0.2288965782391388,-0.0629911572472126,-0.0448442906574394,-0.0629911572472126,0.0177777777777777,0.0061514801999231,-0.0888273740868896,0.1034063821607074,0.059115724721261,0.0888273740868896,-0.186082276047674,0,0.0,0,0,0.0,0,,0.3028117075522145,4,7.868734764701514,0.0,0,1.5102613403111416,228.7251158852344,2.5239533362195887,2.005028530292841,194,0.0,172.0859375,0.0,0.0,0.0,1.2542972564697266,11,,,0.0,0.0,29.36076553737372,40.29394481263721,0.1568332908027979,0.0064774739456123,21.276616870818188,0.3538714349269867,44,0.0,0.0
0.17279507881584,0.0669896193771626,-0.059115724721261,0.0669896193771626,-0.0271280276816609,0.0022145328719723,0.0629911572472126,0.3553094963475586,-0.0797231833910034,0.1137408688965782,-0.0177777777777777,0.0246059207996924,0.075355632449058,-0.000984236831987697,-0.059115724721261,-0.0517339484813533,-0.0842137639369473,0.1417301038062283,0.0271280276816609,-0.0842137639369473,-0.035432525951557,-0.0297731641676278,-0.17279507881584,0.2519646289888504,-0.17279507881584,0.1137408688965782,0.0222068435217224,0.2364628988850442,0.0022145328719723,-0.0448442906574394,-0.2069357939254133,-0.17279507881584,0.1417301038062283,-0.2069357939254133,-0.1476970396001538,0.1245674740484429,-0.075355632449058,0.0711111111111111,-0.0222068435217224,0.0935640138408304,-0.0711111111111111,0.059115724721261,-0.0297731641676278,0.1190926566705113,0.2141330257593233,-0.0984236831987697,-0.2441522491349481,-0.0553633217993079,0.0384467512495194,0.0553633217993079,0.0039369473279507,-0.035432525951557,-0.2599000384467512,0.2519646289888504,-0.1417301038062283,-0.0384467512495194,-0.0448442906574394,-0.1190926566705113,0.0177777777777777,-0.1137408688965782,0.0005536332179930795,0.0448442906574394,0.0088581314878892,-0.1998615916955017,0,0.0,0,0,0.0,0,46.0,3.285302756926871,4,2.745757554725308,0.0,0,6.355971642207551,351.2483396738129,6.506601541636637,5.168844264676144,25,0.0,232.935546875,0.0,0.0,0.0,2.2039051055908203,18,182.0,136.0,0.0,0.0,18.88502770393169,12.285654321844495,0.2142720890030967,0.005801457730987,39.668907181700405,1.793850064277649,223,0.0,0.0
